Accel_x,Accel_y,Accel_z,Gyr_x,Gyr_y,Gyr_z
-1.55,0.79,0.17,-25.41,-3.15,-22.89
-1.46,0.71,0.14,-33.11,-7.14,-26.25
-1.32,0.56,0.07,-38.99,-8.12,-31.64
-1.17,0.45,0,-46.48,-6.79,-39.97
-1.11,0.27,-0.11,-52.29,-4.2,-50.33
-1.07,0.08,-0.24,-49.35,-0.7,-57.54
-1.02,-0.11,-0.4,-41.37,1.26,-54.95
-0.95,-0.27,-0.46,-29.12,6.09,-22.05
-0.86,-0.32,-0.43,-16.24,12.39,-18.76
-0.84,-0.3,-0.4,-8.75,18.27,-12.25
-1.03,-0.21,-0.37,-6.51,19.39,-11.27
-1.18,-0.16,-0.31,-0.35,21.84,-12.74
-1.34,-0.1,-0.18,15.33,18.83,-13.93
-1.44,0.02,-0.11,36.19,13.86,-10.57
-1.38,0.12,-0.05,46.76,12.04,-7
-1.25,0.18,-0.03,46.06,12.67,-2.73
-1.08,0.14,-0.11,42.35,10.01,2.52
-0.82,0.02,-0.25,38.78,1.82,5.95
-0.64,-0.18,-0.43,42.07,-5.46,5.32
-0.45,-0.37,-0.53,50.96,-3.64,-0.98
-0.37,-0.45,-0.62,62.65,12.04,-6.51
-0.39,-0.51,-0.68,72.52,24.29,-9.66
-0.53,-0.54,-0.71,80.29,30.03,-13.16
-0.68,-0.45,-0.66,70.14,31.43,-18.97
-0.86,-0.36,-0.63,54.95,33.46,-21.21
-1,-0.28,-0.57,42.91,29.89,-21.77
-1.08,-0.22,-0.5,31.15,22.05,-22.19
-1.04,-0.16,-0.44,24.22,21.91,-23.59
-0.97,-0.1,-0.41,23.17,24.5,-24.99
-0.89,-0.02,-0.38,25.55,27.44,-24.57
-0.85,-0.02,-0.4,31.43,28.42,-23.17
-0.84,-0.07,-0.44,37.03,28.49,-22.68
-0.81,-0.14,-0.46,44.17,29.19,-21.91
-0.84,-0.19,-0.47,51.59,28.42,-21
-0.86,-0.24,-0.49,58.66,26.81,-19.32
-0.88,-0.27,-0.49,64.26,26.18,-17.29
-0.87,-0.27,-0.48,71.47,26.81,-15.68
-0.87,-0.27,-0.46,74.13,28.21,-14.63
-0.84,-0.25,-0.48,79.45,26.88,-14.28
-0.83,-0.22,-0.43,81.83,30.1,-15.12
-0.82,-0.17,-0.41,79.31,32.2,-13.79
-0.83,-0.14,-0.4,79.31,31.71,-11.41
-0.84,-0.11,-0.39,80.01,31.22,-8.75
-0.86,-0.08,-0.42,80.78,29.47,-5.53
-0.88,-0.07,-0.41,81.34,29.12,-3.99
-0.9,-0.05,-0.43,80.15,28.21,-2.66
-0.92,-0.08,-0.43,78.54,27.72,-1.96
-0.92,-0.08,-0.41,76.09,29.26,-2.1
-0.92,-0.11,-0.42,73.36,28.35,-2.38
-0.91,-0.11,-0.46,71.12,25.9,-2.66
-0.86,-0.15,-0.43,71.61,27.79,-2.03
-0.87,-0.15,-0.38,71.4,26.39,-1.4
-0.87,-0.16,-0.42,73.36,23.73,0.77
-0.87,-0.18,-0.44,76.23,24.92,2.38
-0.89,-0.19,-0.43,76.16,26.04,2.17
-0.89,-0.21,-0.43,73.85,26.25,0.28
-0.88,-0.22,-0.44,70.63,25.83,-2.38
-0.87,-0.23,-0.45,67.62,25.97,-5.95
-0.86,-0.26,-0.45,66.43,25.62,-10.43
-0.85,-0.27,-0.45,64.75,24.71,-13.09
-0.81,-0.26,-0.45,62.65,23.59,-14.14
-0.8,-0.25,-0.44,59.01,23.1,-14.28
-0.81,-0.23,-0.44,55.65,22.47,-13.51
-0.84,-0.23,-0.45,54.04,22.4,-12.67
-0.88,-0.22,-0.49,52.85,21.28,-13.37
-0.89,-0.23,-0.51,57.19,21.42,-14.42
-0.9,-0.22,-0.56,59.43,22.82,-15.12
-0.89,-0.2,-0.57,65.52,24.5,-15.54
-0.88,-0.17,-0.58,68.74,24.64,-14.98
-0.89,-0.15,-0.57,69.3,23.94,-14.7
-0.89,-0.13,-0.55,69.16,20.93,-13.79
-0.89,-0.12,-0.53,67.34,17.78,-12.6
-0.9,-0.11,-0.51,63.56,14.84,-10.15
-0.91,-0.11,-0.51,59.99,12.53,-8.4
-0.92,-0.13,-0.52,58.38,10.78,-6.37
-0.93,-0.16,-0.5,61.39,10.71,-4.2
-0.95,-0.19,-0.52,63.49,10.01,-2.38
-0.93,-0.23,-0.51,68.67,10.71,-1.05
-0.93,-0.24,-0.5,71.33,9.24,0.28
-0.95,-0.22,-0.49,68.25,8.26,2.52
-0.99,-0.22,-0.5,61.46,8.47,6.79
-1.02,-0.27,-0.52,56.28,5.18,11.41
-1.02,-0.32,-0.5,51.38,1.68,16.17
-1.01,-0.37,-0.44,48.09,-1.33,22.33
-1.01,-0.41,-0.35,46.69,-3.57,28.28
-1.01,-0.42,-0.18,52.5,-4.69,35.14
-1.03,-0.4,-0.08,63.84,-6.51,42.35
-1.04,-0.39,-0.07,78.96,-10.57,52.01
-1.05,-0.38,-0.14,89.11,-18.83,58.66
-1.02,-0.38,-0.26,92.19,-26.81,63.56
-0.99,-0.38,-0.3,87.36,-33.88,67.76
-0.95,-0.41,-0.31,78.82,-39.55,72.45
-0.91,-0.46,-0.31,74.62,-41.02,76.3
-0.88,-0.51,-0.31,73.5,-40.6,81.2
-0.86,-0.54,-0.31,71.89,-39.62,86.17
-0.85,-0.6,-0.3,72.1,-36.4,92.12
-0.85,-0.64,-0.3,75.53,-35.35,96.53
-0.84,-0.67,-0.32,78.33,-36.61,98.42
-0.82,-0.62,-0.36,82.04,-35.07,98.56
-0.83,-0.58,-0.41,77.42,-31.01,97.79
-0.85,-0.58,-0.39,80.15,-26.6,97.51
-0.83,-0.53,-0.38,83.09,-22.05,96.74
-0.89,-0.43,-0.45,87.99,-21.77,94.22
-0.93,-0.35,-0.45,80.57,-19.11,90.09
-0.95,-0.35,-0.39,77.28,-19.25,83.65
-0.97,-0.34,-0.38,80.99,-18.34,76.65
-0.94,-0.35,-0.35,80.85,-14.56,70.84
-0.95,-0.37,-0.29,83.02,-13.23,67.83
-0.92,-0.37,-0.25,84.28,-10.71,66.22
-0.9,-0.36,-0.22,79.66,-7.28,65.66
-0.9,-0.35,-0.23,74.69,-4.55,65.45
-0.89,-0.34,-0.25,69.51,-2.66,65.1
-0.89,-0.29,-0.3,61.95,-3.57,63.42
-0.88,-0.26,-0.32,55.44,-4.13,62.02
-0.88,-0.23,-0.32,54.18,-5.95,60.2
-0.89,-0.19,-0.35,51.87,-11.41,58.03
-0.87,-0.18,-0.34,48.3,-14.63,56.28
-0.86,-0.16,-0.33,42.84,-15.96,54.32
-0.86,-0.14,-0.3,38.43,-15.96,52.71
-0.87,-0.13,-0.28,34.65,-15.89,51.03
-0.88,-0.12,-0.26,32.55,-15.54,49.49
-0.89,-0.13,-0.26,31.08,-14.21,48.37
-0.89,-0.14,-0.25,30.38,-14.07,47.46
-0.9,-0.15,-0.25,30.59,-14.98,46.55
-0.91,-0.16,-0.25,29.96,-15.54,45.01
-0.92,-0.17,-0.24,29.68,-15.47,44.24
-0.93,-0.17,-0.21,29.96,-16.03,43.54
-0.93,-0.15,-0.19,29.26,-17.36,40.74
-0.94,-0.13,-0.17,27.72,-20.37,37.31
-0.93,-0.13,-0.16,28.42,-23.03,33.32
-0.95,-0.13,-0.14,26.88,-25.13,27.37
-0.87,-0.09,-0.15,26.18,-27.23,26.32
-0.85,-0.09,-0.17,29.82,-27.37,25.27
-0.86,-0.08,-0.16,25.34,-25.2,23.45
-0.88,-0.11,-0.17,24.22,-23.31,20.65
-0.91,-0.12,-0.16,24.64,-21.91,17.64
-0.9,-0.12,-0.16,26.11,-20.02,16.1
-0.89,-0.11,-0.15,27.02,-17.5,15.4
-0.87,-0.09,-0.16,28.7,-15.12,14.21
-0.86,-0.07,-0.16,32.2,-12.6,12.88
-0.86,-0.05,-0.17,33.6,-9.59,11.97
-0.85,-0.01,-0.17,33.6,-5.81,11.2
-0.85,0.04,-0.16,32.48,-2.1,9.45
-0.85,0.08,-0.18,29.89,0.91,8.26
-0.86,0.11,-0.19,26.46,5.32,8.12
-0.9,0.13,-0.19,23.38,7.63,10.78
-0.9,0.1,-0.15,23.17,11.27,12.04
-0.96,0.1,-0.13,24.15,14.07,16.17
-0.96,0.11,-0.07,25.83,19.6,18.69
-0.99,0.11,-0.06,26.46,24.29,17.92
-1.02,0.12,-0.07,23.03,23.17,15.26
-1.02,0.11,-0.06,20.09,19.74,13.93
-1,0.12,-0.06,20.09,15.26,13.16
-0.96,0.16,-0.09,19.81,12.39,12.18
-0.94,0.18,-0.1,19.11,10.36,10.57
-0.94,0.19,-0.11,14.42,8.89,7.91
-0.96,0.19,-0.1,10.5,6.09,4.76
-0.99,0.16,-0.06,7.56,4.48,-17.15
-1,0.16,-0.04,6.44,3.15,-4.62
-1.01,0.15,-0.06,5.04,0.35,-8.54
-0.99,0.13,-0.1,4.06,-2.52,-11.41
-0.98,0.1,-0.14,3.29,-5.74,-12.6
-0.96,0.04,-0.15,3.22,-7.63,-12.67
-0.95,-0.01,-0.12,4.76,-7.14,-12.67
-0.96,-0.02,-0.08,6.02,-4.97,-13.79
-0.96,-0.01,-0.07,7.91,-3.08,-15.47
-0.93,0.01,-0.08,8.26,-1.26,-18.27
-0.9,0.02,-0.1,7.7,1.26,-21.14
-0.86,0.01,-0.13,6.37,3.64,-24.15
-0.86,-0.02,-0.18,3.92,7.07,-27.79
-0.88,-0.15,-0.23,2.03,11.34,-32.34
-0.95,-0.22,-0.28,2.87,16.87,-33.67
-1.11,-0.21,-0.24,7.49,18.27,-28.84
-1.23,-0.15,-0.17,16.66,17.71,-23.87
-1.31,-0.1,-0.1,22.75,19.46,-18.55
-1.38,-0.11,-0.07,25.83,23.87,-17.36
-1.39,-0.11,-0.08,24.64,25.97,-17.71
-1.34,-0.09,-0.13,25.34,26.6,-15.96
-1.29,-0.07,-0.2,28.77,25.62,-10.64
-1.2,-0.03,-0.23,31.5,25.2,-5.88
-1.13,0.01,-0.26,31.78,24.92,-3.22
-1.05,0.02,-0.29,30.31,26.53,-2.8
-0.95,0,-0.32,29.19,29.54,-2.66
-0.85,-0.04,-0.32,32.55,31.29,-1.68
-0.76,-0.12,-0.31,35.98,32.55,-1.05
-0.69,-0.17,-0.32,40.32,35,-1.05
-0.68,-0.17,-0.31,42.42,36.82,-1.33
-0.73,-0.16,-0.32,43.12,37.1,-2.03
-0.8,-0.16,-0.33,43.96,36.82,-2.03
-0.86,-0.17,-0.34,45.85,37.17,-0.63
-0.91,-0.16,-0.37,47.95,36.05,1.47
-0.91,-0.18,-0.39,50.47,34.86,3.71
-0.91,-0.2,-0.39,51.73,35.07,7.28
-0.9,-0.21,-0.39,51.38,36.47,9.45
-0.91,-0.24,-0.4,52.43,36.26,10.64
-0.92,-0.27,-0.4,56.42,33.53,12.25
-0.93,-0.3,-0.39,62.51,29.96,18.55
-0.86,-0.29,-0.41,69.16,32.13,22.61
-0.84,-0.29,-0.46,74.48,34.65,23.73
-0.81,-0.26,-0.46,74.76,35.98,24.08
-0.82,-0.26,-0.47,73.92,36.96,23.24
-0.84,-0.24,-0.49,73.5,36.54,23.03
-0.83,-0.23,-0.48,76.09,35.28,23.59
-0.83,-0.2,-0.48,78.05,33.74,23.94
-0.82,-0.18,-0.49,79.1,32.62,24.08
-0.82,-0.16,-0.49,79.59,32.06,23.66
-0.85,-0.15,-0.48,79.66,30.31,23.59
-0.83,-0.12,-0.46,77.35,30.38,22.26
-0.82,-0.12,-0.46,73.5,31.64,20.09
-0.85,-0.13,-0.45,73.78,31.57,18.48
-0.87,-0.12,-0.44,74.62,28.14,17.29
-0.88,-0.13,-0.43,77.28,27.02,17.29
-0.89,-0.14,-0.43,80.15,26.53,18.34
-0.9,-0.15,-0.41,85.4,27.16,19.53
-0.91,-0.13,-0.4,92.19,27.23,21.56
-0.9,-0.12,-0.39,98.91,27.72,23.66
-0.89,-0.09,-0.4,99.19,27.93,25.9
-0.89,-0.07,-0.41,97.02,27.65,27.65
-0.87,-0.06,-0.44,95.97,27.09,28.91
-0.87,-0.08,-0.47,99.19,26.32,29.54
-0.88,-0.07,-0.48,98.98,23.24,28.84
-0.88,-0.1,-0.47,98.84,22.47,28.77
-0.89,-0.11,-0.46,102.9,22.82,29.89
-0.89,-0.11,-0.45,107.59,22.54,30.38
-0.88,-0.08,-0.48,110.53,20.09,29.96
-0.88,-0.08,-0.47,110.53,20.51,28.84
