Accel_x,Accel_y,Accel_z,Gyr_x,Gyr_y,Gyr_z
-0.59,-0.42,-0.16,-38.22,4.83,40.67
-0.56,-0.35,-0.14,-36.61,10.85,27.79
-0.67,-0.29,-0.03,-32.48,13.23,20.44
-0.8,-0.21,-0.01,-26.53,21.98,3.64
-0.95,-0.25,0.03,-35.21,13.65,7.28
-1.03,-0.23,0,-41.37,20.79,-3.64
-1.06,-0.23,-0.02,-48.65,24.08,-13.93
-1.01,-0.27,-0.04,-52.43,23.87,-25.55
-0.86,-0.36,-0.03,-48.72,24.71,-31.57
-0.72,-0.39,-0.04,-41.23,27.02,-34.72
-0.59,-0.39,-0.03,-35.63,30.45,-36.26
-0.47,-0.4,-0.03,-30.52,36.4,-35.98
-0.41,-0.43,-0.06,-23.1,41.86,-34.58
-0.37,-0.45,-0.05,-13.23,44.94,-32.41
-0.35,-0.46,-0.05,0.35,46.9,-29.96
-0.35,-0.44,-0.05,13.72,49.7,-29.12
-0.37,-0.38,-0.02,21.35,53.62,-29.54
-0.42,-0.3,0.02,24.01,53.9,-29.19
-0.52,-0.18,0.05,22.26,50.68,-32.55
-0.62,-0.07,0.09,13.79,44.94,-40.04
-0.67,0.02,0.11,0.07,39.41,-48.79
-0.73,0.11,0.05,-5.39,35,-55.02
-0.77,0.16,-0.01,-2.59,31.57,-55.3
-0.79,0.22,-0.06,0,31.01,-53.62
-0.82,0.21,-0.16,4.41,33.11,-53.83
-1,0.16,-0.16,3.01,27.86,-52.29
-1.01,0.26,-0.22,-6.09,40.18,-39.13
-1.22,0.28,-0.23,-12.81,47.46,-27.16
-1.37,0.34,-0.15,-17.01,42.56,-28.77
-1.41,0.44,-0.01,-24.43,32.13,-34.65
-1.32,0.54,0.2,-23.24,24.99,-40.67
-1.36,0.72,0.4,-18.27,17.99,-41.44
-1.35,0.75,0.56,-15.19,8.4,-37.94
-1.29,0.64,0.56,-16.52,-4.83,-33.6
-1.23,0.53,0.5,-16.87,-12.39,-26.53
-1.18,0.39,0.4,-11.76,-14.91,-16.52
-1.1,0.26,0.34,-5.25,-10.57,-7.98
-1.11,0.1,0.37,3.78,1.05,0.49
-1.29,0.08,0.43,0.49,26.81,16.38
-1.78,-0.11,0.39,-0.14,47.46,27.65
-2.17,-0.17,0.23,10.15,59.85,33.67
-1.82,-0.34,-0.57,9.45,43.96,33.11
-1.01,-0.5,-1.81,-20.16,-34.51,24.15
0,-0.86,-1.52,-11.9,-38.01,7.7
0.13,-1.18,-1.31,21.21,-14.7,1.05
-0.34,-0.38,-0.86,-8.61,-46.13,-16.03
-1.28,-0.02,-0.37,-70.91,-3.57,-6.44
-2.82,0.16,0.06,-120.75,20.09,0.42
-2.59,0.83,-0.01,-42.49,34.79,3.29
-1.69,0.66,-0.61,-45.36,-15.82,-10.5
-1.16,-0.01,-1.37,-15.26,-54.88,-19.95
-0.66,-0.29,-1.6,22.89,-51.24,-28.49
-0.54,-0.7,-1.48,16.1,-35.14,-57.82
-0.6,-0.9,-1.22,-17.71,16.87,-86.38
-0.76,-0.97,-0.77,-62.86,55.09,-99.75
-0.94,-1,-0.4,-75.53,64.75,-93.59
-1.15,-0.93,-0.54,-49.91,49.42,-92.05
-1.09,-0.75,-0.64,-21.7,37.38,-92.68
-1.05,-0.56,-0.59,-0.7,37.94,-84.84
-1.08,-0.44,-0.46,9.59,40.67,-77.91
-1.14,-0.35,-0.32,7,51.03,-74.55
-1.22,-0.26,-0.18,-2.24,56.14,-75.95
-1.25,-0.21,-0.09,-12.95,50.05,-79.17
-1.16,-0.21,-0.06,-12.46,37.24,-80.57
-1.04,-0.19,-0.09,-6.23,24.36,-78.47
-0.9,-0.16,-0.09,1.89,16.24,-74.48
-0.82,-0.11,-0.11,5.18,10.92,-71.19
-0.68,-0.06,-0.16,3.64,13.37,-67.69
-0.63,-0.03,-0.22,-2.17,15.68,-65.03
-0.6,-0.02,-0.26,-9.1,18.13,-65.38
-0.62,-0.02,-0.27,-15.05,19.46,-67.9
-0.65,-0.05,-0.26,-18.83,21.14,-71.47
-0.68,-0.09,-0.23,-22.4,22.61,-74.34
-0.7,-0.12,-0.23,-24.64,21.98,-76.86
-0.7,-0.14,-0.24,-24.71,21.21,-78.33
-0.71,-0.15,-0.25,-23.38,20.16,-80.22
-0.71,-0.15,-0.27,-21.98,17.78,-81.83
-0.72,-0.16,-0.32,-21.14,14.84,-83.65
-0.73,-0.16,-0.38,-22.4,12.95,-86.94
-0.76,-0.18,-0.44,-26.39,11.76,-90.93
-0.81,-0.19,-0.49,-34.09,10.57,-94.85
-0.84,-0.21,-0.5,-42.77,10.71,-97.02
-0.89,-0.24,-0.52,-52.85,12.67,-96.25
-0.94,-0.26,-0.44,-52.5,16.66,-91.56
-1,-0.29,-0.33,-49.7,22.47,-85.33
-1.07,-0.3,-0.22,-46.2,25.9,-79.24
-1.14,-0.33,-0.12,-43.89,27.86,-76.65
-1.2,-0.4,0.02,-33.18,29.05,-71.75
-1.28,-0.45,0.1,-11.06,22.33,-62.58
-1.33,-0.47,0.06,8.82,10.99,-49
-1.3,-0.42,-0.12,25.27,3.92,-35.91
-1.29,-0.4,-0.23,36.12,-3.57,-30.59
-1.26,-0.25,-0.3,44.52,-14.21,-25.13
-1.21,-0.1,-0.37,46.41,-20.16,-23.87
-1.23,0.01,-0.42,44.45,-22.26,-24.85
-1.3,0.11,-0.47,40.74,-27.65,-26.04
-1.38,0.21,-0.52,33.67,-36.05,-26.39
-1.5,0.31,-0.54,20.3,-45.64,-26.67
-1.62,0.39,-0.47,3.43,-57.61,-24.22
-1.67,0.41,-0.33,-17.92,-70.14,-20.72
-1.71,0.36,-0.18,-34.79,-86.73,-15.75
-1.71,0.27,-0.03,-38.01,-110.95,-5.81
-1.57,0.17,-0.04,-35.49,-138.04,10.92
-1.38,0.16,-0.32,-45.64,-155.19,25.97
-1.07,0.14,-0.57,-76.65,-148.75,40.18
-0.98,-0.08,-0.65,-85.68,-137.76,51.94
-0.9,-0.12,-0.66,-88.48,-135.8,64.68
-0.85,-0.15,-0.74,-90.16,-125.09,77.07
-0.84,-0.11,-0.76,-94.78,-114.66,88.97
-0.86,-0.05,-0.78,-108.57,-110.04,99.33
-0.88,-0.02,-0.83,-122.99,-106.33,111.58
-0.93,-0.1,-0.87,-136.85,-100.03,113.75
-0.98,-0.19,-0.89,-140.63,-93.03,112.84
-1.02,-0.41,-0.91,-139.02,-86.59,108.43
-1.01,-0.51,-1.01,-123.97,-85.4,108.85
-0.96,-0.58,-1.01,-108.08,-68.74,116.69
-1.09,-0.54,-0.95,-101.01,-55.44,118.23
-1.06,-0.4,-0.87,-107.73,-52.5,114.94
-0.98,-0.3,-0.82,-115.57,-51.59,108.99
-0.92,-0.15,-0.75,-123.06,-47.25,113.61
-0.9,-0.19,-0.6,-124.6,-54.67,104.93
-0.87,-0.18,-0.61,-123.41,-52.22,101.15
-0.84,-0.15,-0.64,-130.97,-39.76,97.44
-0.8,-0.18,-0.67,-135.38,-31.71,96.46
-0.78,-0.23,-0.69,-139.51,-28.84,93.24
-0.74,-0.27,-0.72,-142.17,-26.88,87.29
-0.73,-0.31,-0.68,-143.71,-25.48,83.16
-0.75,-0.32,-0.67,-153.65,-29.54,73.99
-0.73,-0.34,-0.63,-159.67,-25.55,66.64
-0.76,-0.31,-0.58,-163.45,-22.54,59.36
-0.75,-0.3,-0.55,-167.58,-17.99,52.08
-0.77,-0.3,-0.48,-168.98,-16.17,41.3
-0.76,-0.35,-0.43,-171.15,-17.43,27.72
-0.76,-0.37,-0.38,-169.4,-20.02,16.38
-0.73,-0.42,-0.35,-165.83,-20.79,2.66
-0.71,-0.43,-0.3,-164.57,-20.93,-8.33
-0.65,-0.45,-0.27,-161.56,-21.91,-16.8
-0.63,-0.48,-0.25,-154.07,-21.63,-22.96
-0.59,-0.5,-0.23,-144.83,-19.67,-25.62
-0.58,-0.5,-0.2,-134.96,-17.22,-25.83
-0.59,-0.53,-0.15,-121.45,-11.69,-23.94
-0.62,-0.49,-0.1,-102.76,-4.9,-19.67
-0.63,-0.41,-0.1,-89.95,2.1,-10.29
-0.64,-0.32,-0.12,-81.06,13.16,-2.24
-0.66,-0.2,-0.14,-74.2,21.77,4.97
-0.7,-0.12,-0.16,-66.5,28.84,12.04
-0.74,0,-0.17,-60.76,34.44,19.04
-0.77,0.09,-0.2,-57.47,38.22,23.87
-0.87,0.18,-0.14,-56.49,36.05,27.02
-0.91,0.31,-0.08,-60.34,32.48,23.52
-0.99,0.43,-0.06,-67.13,29.68,12.11
-1.16,0.51,-0.06,-82.25,22.12,4.97
-1.33,0.59,-0.02,-93.03,11.62,-1.82
-1.44,0.7,0.03,-95.97,0.98,-5.39
-1.48,0.8,0,-91.7,-5.6,-3.85
-1.48,0.87,-0.07,-87.5,-8.19,1.05
-1.45,0.86,-0.11,-89.11,-8.61,5.53
-1.34,0.74,-0.18,-97.86,-9.31,3.5
-1.18,0.58,-0.23,-112.35,-10.36,-2.73
-1.05,0.36,-0.24,-126.7,-11.62,-12.32
-0.87,0.11,-0.25,-135.52,-6.58,-23.17
-0.8,-0.12,-0.22,-133.91,0.7,-31.85
-0.78,-0.34,-0.24,-126.28,14.07,-38.85
-0.91,-0.54,-0.25,-111.72,23.24,-45.36
-1.25,-0.57,-0.07,-98.35,21,-43.33
-1.65,-0.45,0.1,-78.12,13.16,-34.3
-1.67,-0.27,0.13,-54.6,14.35,-24.64
-1.6,-0.12,0.18,-28.14,23.8,-27.58
-1.52,-0.06,0.11,-3.99,34.16,-37.31
-1.52,-0.07,-0.05,-4.76,47.6,-40.53
-1.47,-0.28,-0.39,-26.32,51.1,-28.21
-1.1,-0.5,-0.77,-24.5,16.52,-9.38
-0.3,-0.56,-0.83,-2.73,-32.13,-4.06
0.06,-0.5,-0.75,29.05,-45.71,-9.66
0.17,-0.5,-0.53,64.75,-17.78,-19.46
0.01,-0.53,-0.45,90.3,12.39,-27.16
-0.29,-0.56,-0.5,100.94,34.93,-37.45
-0.67,-0.52,-0.51,84.77,41.86,-48.3
-0.99,-0.43,-0.56,42.56,38.71,-59.15
-1.24,-0.36,-0.61,12.81,29.33,-67.41
-1.31,-0.17,-0.64,-16.87,28.77,-72.87
-1.4,0.12,-0.71,-45.15,32.06,-81.34
-1.21,0.2,-0.66,-63.56,15.05,-89.46
