Accel_x,Accel_y,Accel_z
-0.081,-1.116,1.383
-0.49,-1.465,0.919
-0.5,-1.255,1.108
-0.302,-0.706,1.241
-0.097,-0.31,1.224
-0.058,-0.112,1.006
0.044,-0.107,1.104
0.011,-0.066,1.177
-0.058,-0.04,1.264
-0.25,-0.054,1.354
-0.31,-0.035,1.316
-0.323,-0.102,1.161
-0.326,-0.135,1.176
-0.299,0.075,1.268
-0.304,-0.002,1.167
-0.29,0.042,1.318
-0.252,0.049,1.285
-0.307,-0.023,1.198
-0.318,0,1.193
-0.41,-0.111,1.124
-0.499,-0.061,1.011
-0.546,-0.043,1.095
-0.517,0.081,1.211
-0.515,0.081,1.185
-0.535,0.113,1.149
-0.504,0.192,1.2
-0.414,0.289,1.198
-0.375,0.336,1.133
-0.323,0.343,1.096
-0.288,0.377,1.047
-0.217,0.394,0.959
-0.186,0.442,0.918
-0.184,0.544,0.834
-0.216,0.603,0.787
-0.361,0.708,0.72
-0.287,0.76,0.665
-0.325,0.853,0.651
-0.335,0.905,0.632
-0.366,0.936,0.623
-0.423,1.014,0.57
-0.44,1.011,0.513
-0.428,0.967,0.483
-0.431,0.856,0.47
-0.449,0.782,0.433
-0.486,0.672,0.391
-0.479,0.635,0.318
-0.447,0.62,0.252
-0.377,0.608,0.221
-0.334,0.596,0.146
-0.283,0.576,0.074
-0.267,0.569,0.043
-0.263,0.624,-0.01
-0.255,0.632,-0.064
-0.231,0.744,-0.081
-0.228,0.803,-0.103
-0.238,0.779,-0.148
-0.257,0.709,-0.158
-0.281,0.614,-0.173
-0.262,0.593,-0.178
-0.255,0.664,-0.169
-0.271,0.734,-0.187
-0.259,0.765,-0.204
-0.221,0.777,-0.217
-0.165,0.791,-0.223
-0.148,0.795,-0.242
-0.122,0.802,-0.246
-0.149,0.779,-0.265
-0.168,0.752,-0.276
-0.234,0.732,-0.321
-0.305,0.724,-0.339
-0.363,0.677,-0.356
-0.373,0.661,-0.341
-0.352,0.642,-0.341
-0.306,0.55,-0.365
-0.271,0.541,-0.304
-0.168,0.543,-0.275
-0.01,0.504,-0.277
-0.089,0.503,-0.229
-0.081,0.51,-0.212
-0.078,0.528,-0.187
-0.119,0.532,-0.214
-0.191,0.536,-0.232
-0.238,0.537,-0.352
-0.341,0.564,-0.531
-0.484,0.629,-0.676
-0.566,0.707,-0.822
-0.597,0.733,-0.844
-0.595,0.768,-0.887
-0.592,0.796,-0.902
-0.57,0.798,-0.927
-0.513,0.754,-0.953
-0.463,0.733,-0.979
-0.36,0.735,-0.91
-0.253,0.725,-0.876
-0.222,0.708,-0.817
-0.152,0.708,-0.637
-0.139,0.683,-0.697
-0.175,0.63,-0.731
-0.329,0.596,-0.744
-0.458,0.551,-0.736
-0.555,0.542,-0.739
-0.654,0.483,-0.868
-0.775,0.411,-0.89
-0.755,0.446,-0.883
-0.696,0.466,-0.923
-0.603,0.505,-0.919
-0.544,0.49,-0.92
-0.459,0.464,-0.91
-0.365,0.455,-0.88
-0.349,0.387,-0.863
-0.398,0.336,-0.874
-0.467,0.278,-0.871
-0.49,0.299,-0.85
-0.491,0.321,-0.839
-0.429,0.369,-0.837
-0.392,0.396,-0.85
-0.324,0.418,-0.876
-0.3,0.358,-0.893
-0.312,0.349,-0.885
-0.46,0.855,-0.722
-0.429,0.903,-0.601
-0.321,0.834,-0.57
-0.192,0.662,-0.562
-0.122,0.611,-0.545
-0.072,0.59,-0.584
-0.047,0.582,-0.642
0.019,0.504,-0.657
0.097,0.249,-0.691
0.216,0.152,-0.708
0.239,0.092,-0.761
0.208,0.254,-0.799
0.177,0.387,-0.848
0.101,0.475,-0.821
0.061,0.627,-0.768
0.013,0.608,-0.78
0.011,0.448,-0.786
0.038,0.198,-0.917
0.085,0.062,-1.039
0.091,-0.056,-1.154
0.06,0,-1.168
-0.052,0.183,-1.188
-0.098,0.35,-1.156
-0.16,0.395,-1.13
-0.135,0.472,-1.077
-0.097,0.516,-0.984
-0.025,0.516,-0.961
0.027,0.529,-0.915
0.039,0.522,-0.948
0.028,0.466,-0.982
0.022,0.409,-1.047
0.014,0.376,-1.073
0.026,0.319,-1.115
0.062,0.323,-1.116
0.077,0.417,-1.104
0.064,0.599,-1.071
-0.004,0.537,-1.041
-0.038,0.613,-1.002
-0.099,0.654,-0.706
-0.159,0.6,-0.569
-0.165,0.503,-0.51
-0.16,0.322,-0.529
