Accel_x,Accel_y,Accel_z
-0.35,0.722,1.051
-0.346,0.839,1.167
-0.367,1.012,1.122
-0.377,1.172,0.959
-0.401,0.61,0.411
-0.469,0.008,0.157
-0.746,-0.363,-0.063
-0.717,-0.249,0.1
-0.582,-0.132,0.253
-0.48,0.158,0.571
-0.315,0.341,0.651
-0.198,0.509,0.657
-0.17,0.539,0.711
-0.191,0.594,0.736
-0.212,0.581,0.771
-0.26,0.59,0.845
-0.286,0.538,0.866
-0.277,0.44,0.827
-0.245,0.331,0.814
-0.245,0.331,0.799
-0.222,0.372,0.751
-0.212,0.473,0.768
-0.225,0.506,0.844
-0.231,0.508,0.863
-0.218,0.502,0.816
-0.204,0.513,0.788
-0.199,0.308,0.821
-0.205,0.309,0.849
-0.249,0.374,0.798
-0.278,0.45,0.762
-0.268,0.234,0.735
-0.219,0.206,0.726
-0.224,0.245,0.703
-0.231,0.359,0.698
-0.211,0.295,0.727
-0.179,0.144,0.773
-0.191,0.161,0.835
-0.211,0.25,0.878
-0.226,0.284,0.907
-0.199,0.299,0.931
-0.193,0.267,0.944
-0.193,0.308,0.961
-0.205,0.307,0.951
-0.235,0.309,0.957
-0.266,0.306,0.977
-0.283,0.43,1.035
-0.348,0.51,1.091
-0.386,0.617,1.206
-0.362,0.332,0.952
-0.237,0.261,0.838
-0.196,0.25,0.749
-0.179,0.294,0.604
-0.24,0.407,0.621
-0.26,0.423,0.692
-0.298,0.392,0.74
-0.328,0.355,0.853
-0.365,0.363,0.888
-0.349,0.43,0.929
-0.327,0.621,0.959
-0.277,0.564,0.949
-0.267,0.577,0.937
-0.229,0.625,0.958
-0.234,0.666,0.98
-0.033,0.831,1.621
-0.161,0.732,1.18
-0.293,0.687,0.972
-0.316,0.554,0.692
-0.32,0.541,0.619
-0.255,0.594,0.722
-0.229,0.636,0.815
-0.213,0.651,0.822
-0.224,0.7,0.833
-0.225,0.707,0.863
-0.219,0.702,0.933
-0.217,0.688,0.969
-0.223,0.69,0.98
-0.221,0.696,1.015
-0.216,0.725,1.052
-0.22,0.797,1.104
-0.222,0.773,1.142
-0.219,0.773,1.127
-0.212,0.749,1.006
-0.175,0.743,0.782
-0.169,0.755,0.729
-0.18,0.766,0.644
-0.209,0.798,0.658
-0.231,0.83,0.771
-0.261,0.84,0.907
-0.254,0.854,0.955
-0.236,0.99,0.966
-0.216,0.905,0.94
-0.242,0.967,0.909
-0.262,0.991,0.909
-0.266,1.02,0.914
-0.263,1.071,0.92
-0.232,1.129,0.934
-0.26,1.13,0.885
-0.277,1.113,0.84
-0.271,1.144,0.844
-0.131,1.22,0.796
-0.246,1.235,0.793
-0.244,1.183,0.814
-0.229,1.14,0.866
-0.204,1.114,0.887
-0.168,1.058,0.918
-0.146,1.039,0.944
-0.115,0.991,0.934
-0.113,0.937,0.897
-0.107,0.889,0.839
-0.1,0.856,0.805
-0.094,0.781,0.728
-0.087,0.752,0.663
-0.07,0.718,0.51
-0.059,0.688,0.6
-0.057,0.682,0.619
-0.04,0.668,0.675
0.007,0.681,0.719
0.045,0.712,0.772
0.095,0.732,0.78
0.132,-0.548,1.453
0.149,-0.59,1.501
0.146,-0.657,1.551
0.146,-0.704,1.579
0.148,-0.727,1.622
0.143,-0.749,1.678
0.143,-0.819,1.711
0.15,-0.864,1.795
0.182,-0.957,1.836
0.201,-1.079,1.904
0.235,-1.149,1.942
0.264,-1.283,1.964
0.282,-1.407,1.972
0.286,-1.476,1.969
0.306,-1.515,1.95
0.314,-1.569,1.888
0.344,-1.598,1.803
0.39,-1.64,1.744
0.412,-1.664,1.617
0.455,-1.688,1.549
0.512,-1.676,1.415
0.569,-1.67,1.339
0.757,-1.7,1.325
0.932,-1.762,1.296
0.979,-1.776,1.252
1.023,-1.732,1.185
1.057,-1.606,1.143
1.081,-1.451,1.05
1.118,-1.355,0.883
1.109,-1.142,0.94
1.09,-1.033,0.879
1.055,-0.795,0.85
1.016,-0.501,0.79
0.937,-0.322,0.627
0.817,0.149,0.731
0.756,0.423,0.78
0.56,1.016,0.834
0.422,1.697,1.022
0.055,2.057,1.154
-0.148,2.769,1.452
-0.529,3.411,1.769
-0.903,3.678,1.895
-1.081,4.063,2.069
-1.39,4.177,2.135
-1.6,4.28,2.12
-1.65,4.271,1.999
-1.687,4.149,1.9
-1.672,3.928,1.629
-1.627,3.795,1.297
-1.552,3.504,1.126
-1.505,3.192,0.793
-1.361,3.046,0.515
-1.178,2.76,0.385
-1.078,2.607,0.183
-0.856,2.27,0.104
-0.748,1.957,-0.022
-0.579,1.813,-0.115
-0.462,1.566,-0.154
-0.411,1.371,-0.224
-0.322,1.282,-0.292
-0.249,1.122,-0.321
-0.216,0.984,-0.357
-0.163,0.921,-0.357
-0.117,0.822,-0.344
-0.088,0.747,-0.287
-0.027,0.714,-0.201
0.037,0.647,-0.155
0.067,0.611,-0.064
0.12,0.53,0.02
0.159,0.455,0.057
0.18,0.423,0.138
0.215,0.378,0.184
0.238,0.357,0.276
0.282,0.315,0.323
0.294,0.287,0.404
0.304,0.244,0.437
0.301,0.235,0.501
0.289,0.246,0.527
0.261,0.296,0.586
0.246,0.335,0.656
0.219,0.334,0.704
0.188,0.243,0.71
0.157,0.3,0.734
0.244,0.255,0.774
0.239,0.165,0.754
0.234,0.13,0.754
0.265,0.079,0.765
0.307,0.089,0.818
0.309,-0.123,0.805
0.277,0.01,0.854
0.359,-0.046,0.937
0.32,-0.049,0.97
0.308,-0.031,1.065
0.281,-0.056,1.149
0.223,-0.044,1.185
0.196,-0.001,1.276
0.238,0.046,1.333
0.232,0.025,1.401
0.207,0.008,1.423
0.207,-0.022,1.44
0.221,-0.025,1.438
0.237,-0.051,1.434
0.234,-0.067,1.422
0.23,-0.094,1.408
0.233,-0.122,1.4
0.368,-0.145,1.387
0.264,-0.149,1.369
0.271,-0.16,1.362
0.278,-0.17,1.356
