 Accel_x, Accel_y, Accel_z, Gyr_x, Gyr_y, Gyr_z
-0.07,0.01,1.04,0.49,-4.34,0.56
-0.07,0.01,1.05,0.7,-3.92,0.35
-0.07,0.01,1.05,0.63,-3.43,0.21
-0.07,0.02,1.04,0.7,-3.85,0.35
-0.07,0.01,1.05,0.7,-4.48,0.21
-0.07,0.02,1.05,0.56,-3.85,0.42
-0.07,0.02,1.05,0.56,-3.57,0.35
-0.07,0.02,1.04,0.35,-3.99,0.21
-0.07,0.02,1.05,0.42,-3.99,0.28
-0.07,0.01,1.05,0.63,-3.78,0.14
-0.07,0.01,1.05,0.56,-3.78,0.35
-0.07,0.01,1.04,0.49,-3.99,0.21
-0.06,0.01,1.05,0.63,-3.92,0.21
-0.07,0.01,1.05,0.7,-3.71,0.21
-0.07,0.01,1.04,0.63,-3.78,0.14
-0.07,0.01,1.04,0.63,-3.85,0.35
-0.07,0.01,1.05,0.63,-3.99,0.42
-0.07,0.02,1.05,0.63,-3.57,0.21
-0.07,0.01,1.04,0.56,-3.78,0.21
-0.07,0.02,1.05,0.56,-3.99,0.21
-0.07,0.01,1.05,0.56,-3.78,0.28
-0.07,0.01,1.04,0.49,-3.71,0.21
-0.07,0.01,1.05,0.63,-3.85,0.28
-0.07,0.01,1.05,0.56,-3.85,0.35
-0.07,0.01,1.04,0.49,-3.92,0.28
-0.07,0.01,1.05,0.49,-3.85,0.14
-0.07,0.01,1.05,0.7,-3.92,0.35
-0.07,0.01,1.05,0.7,-3.71,0.35
-0.07,0.02,1.04,0.56,-3.99,0.28
-0.07,0.01,1.05,0.63,-4.06,0.28
-0.07,0.02,1.04,0.49,-3.57,0.14
-0.07,0.02,1.04,0.42,-3.78,0.21
-0.07,0.01,1.04,0.49,-3.92,0.28
-0.07,0.01,1.05,0.7,-3.57,0.07
-0.07,0.01,1.05,0.49,-3.5,0.28
-0.07,0.01,1.04,0.56,-3.99,0.35
-0.07,0.01,1.05,0.49,-3.99,0.21
-0.07,0.01,1.05,0.63,-3.78,0.49
-0.07,0.01,1.05,0.7,-3.85,0.35
-0.07,0.01,1.04,0.56,-3.92,0.35
