 Accel_x, Accel_y, Accel_z, Gyr_x, Gyr_y, Gyr_z
-0.99,0.16,-0.09,0.91,-4.13,0.07
-0.99,0.16,-0.09,1.47,-4.13,0.07
-0.99,0.17,-0.09,1.47,-3.99,-0.14
-0.99,0.17,-0.08,1.4,-3.92,-0.21
-0.99,0.17,-0.08,1.26,-4.27,-0.14
-0.99,0.16,-0.08,1.33,-4.41,0.07
-0.99,0.16,-0.09,1.26,-4.2,-0.14
-0.99,0.16,-0.08,0.98,-4.06,-0.49
-0.99,0.17,-0.08,0.91,-4.2,-0.84
-0.99,0.16,-0.08,0.84,-4.41,-0.63
-0.99,0.17,-0.08,0.63,-4.41,-0.7
-0.99,0.17,-0.08,0.56,-4.13,-0.77
-0.99,0.17,-0.08,0.63,-3.85,-0.63
-0.99,0.16,-0.08,0.7,-3.78,-0.21
-0.99,0.16,-0.08,0.91,-3.99,0
-0.99,0.16,-0.08,1.12,-3.92,-0.07
-0.99,0.16,-0.08,1.33,-4.06,-0.28
-0.98,0.16,-0.08,1.47,-4.27,-0.35
-0.98,0.16,-0.08,1.54,-4.48,-0.56
-0.98,0.16,-0.08,1.47,-4.55,-0.7
-0.99,0.16,-0.08,0.98,-5.04,-0.49
-0.99,0.17,-0.08,0.77,-4.83,-0.7
-0.99,0.17,-0.08,0,-5.32,-0.21
-0.99,0.16,-0.08,0.07,-5.18,-0.14
-0.99,0.16,-0.08,-0.28,-4.48,-0.21
-1,0.16,-0.09,-0.28,-4.55,0.14
-0.99,0.17,-0.09,0,-4.2,0.07
-0.99,0.17,-0.08,0.42,-3.71,-0.07
-0.99,0.17,-0.08,0.63,-3.71,0
-0.99,0.16,-0.08,0.49,-4.13,-0.35
-0.99,0.16,-0.09,0.56,-4.34,-0.35
-0.99,0.16,-0.08,0.98,-4.34,-0.21
-0.99,0.16,-0.08,1.47,-4.06,-0.14
-0.99,0.16,-0.08,2.31,-4.2,-0.42
-0.99,0.15,-0.09,2.66,-4.55,-0.21
-0.99,0.15,-0.08,2.45,-4.48,-0.21
-0.99,0.16,-0.08,2.1,-4.27,-0.42
-0.99,0.16,-0.08,1.47,-4.48,0
-0.99,0.16,-0.08,1.12,-4.55,17.71
-0.99,0.16,-0.08,0.63,-4.48,-0.28
-0.99,0.16,-0.08,0.21,-4.41,-0.07
-0.99,0.16,-0.08,0.28,-4.34,0
-0.98,0.17,-0.08,0.14,-4.27,0
-0.99,0.17,-0.08,0.42,-4.48,0.07
-0.99,0.17,-0.08,0.63,-4.76,0.07
-0.99,0.17,-0.08,1.54,-4.83,0.14
-0.99,0.17,-0.08,1.96,-4.62,0.14
-1,0.17,-0.08,2.24,-4.2,0.28
-0.99,0.16,-0.08,2.31,-4.06,0.35
-0.99,0.16,-0.08,2.38,-4.2,0.63
-0.99,0.16,-0.08,1.96,-3.78,0.7
-0.99,0.16,-0.08,1.89,-3.36,0.7
-0.98,0.15,-0.08,2.38,-3.43,0.7
-0.98,0.15,-0.08,2.52,-3.71,0.84
-0.98,0.15,-0.08,2.59,-4.27,0.49
-0.98,0.15,-0.08,2.31,-4.55,0.49
-0.98,0.15,-0.09,1.96,-4.62,0.28
-0.99,0.15,-0.08,1.82,-4.97,0.35
-0.99,0.16,-0.08,1.4,-4.97,0.42
-0.99,0.16,-0.08,1.12,-4.76,0.56
-1,0.16,-0.08,1.05,-4.55,0.84
-1,0.16,-0.08,0.98,-4.41,0.91
-0.99,0.16,-0.08,1.12,-4.13,1.05
-0.99,0.16,-0.08,1.12,-3.99,0.98
-0.99,0.16,-0.08,0.98,-4.06,0.91
-0.99,0.16,-0.08,0.84,-4.13,1.05
-0.99,0.16,-0.08,0.84,-4.13,0.77
-0.99,0.16,-0.08,0.91,-4.2,0.56
-0.99,0.17,-0.08,1.05,-4.41,0.42
-0.99,0.17,-0.08,1.26,-4.55,0.49
-0.99,0.18,-0.08,1.26,-4.27,0.56
-0.99,0.17,-0.08,1.05,-4.2,0.77
-0.99,0.16,-0.08,1.26,-4.13,1.05
-0.99,0.16,-0.08,1.4,-4.13,1.4
-0.99,0.15,-0.08,1.4,-4.06,1.68
-0.99,0.15,-0.08,1.4,-4.13,1.61
-0.99,0.15,-0.08,1.54,-3.99,1.54
-0.99,0.16,-0.08,1.54,-4.27,1.12
-0.99,0.16,-0.08,1.54,-4.27,0.91
-0.99,0.16,-0.08,1.4,-4.06,0.84
-0.99,0.16,-0.08,0.98,-3.71,1.12
-0.99,0.16,-0.07,0.56,-3.57,1.61
-0.99,0.16,-0.07,0.35,-3.22,1.89
-0.99,0.15,-0.08,-0.07,-3.36,2.17
-0.99,0.15,-0.08,-0.56,-3.57,1.82
-0.98,0.16,-0.08,-0.7,-3.92,1.61
-0.99,0.16,-0.08,-0.91,-4.2,1.26
-0.98,0.17,-0.08,-0.91,-4.06,0.91
-0.99,0.17,-0.08,-0.84,-4.27,0.63
-0.99,0.17,-0.08,-0.07,-4.27,0.63
-0.99,0.17,-0.08,0.21,-4.13,0.49
-0.99,0.17,-0.08,0.42,-4.62,0.91
-0.99,0.17,-0.08,0.28,-4.55,0.84
-0.99,0.17,-0.08,0.21,-4.62,1.12
-0.99,0.17,-0.08,0.14,-4.48,0.84
-0.99,0.18,-0.08,0.14,-4.27,0.77
-0.99,0.18,-0.08,0.07,-3.78,0.63
-0.99,0.18,-0.08,0.63,-3.43,0.77
-0.99,0.17,-0.08,0.7,-3.29,1.4
-0.99,0.17,-0.08,1.33,-3.15,1.61
-0.99,0.17,-0.08,1.54,-3.01,1.47
-0.99,0.17,-0.09,1.54,-3.15,1.26
-1,0.18,-0.1,1.68,-3.5,1.05
-0.99,0.19,-0.1,1.19,-3.36,0.77
-0.99,0.2,-0.1,0.84,-2.59,0.7
-0.98,0.21,-0.09,0.28,-1.61,0.49
-0.98,0.21,-0.08,-0.63,-0.7,0.14
-0.98,0.21,-0.08,0.35,-0.77,1.33
-0.99,0.21,-0.09,1.19,-1.33,2.03
-1,0.21,-0.1,2.59,-1.61,3.15
-1,0.22,-0.1,4.62,-1.61,3.78
-0.99,0.23,-0.09,6.44,-0.56,4.27
-0.98,0.23,-0.08,7.7,0.91,4.69
-0.97,0.22,-0.07,7.91,2.52,5.46
-0.96,0.19,-0.07,7.56,3.71,5.39
-0.97,0.16,-0.08,6.65,3.57,5.46
-0.97,0.14,-0.08,4.83,3.01,5.18
-0.98,0.14,-0.1,3.36,2.52,5.25
-0.98,0.14,-0.1,2.24,2.31,4.83
