 Accel_x, Accel_y, Accel_z, Gyr_x, Gyr_y, Gyr_z
-0.4,-0.49,0.85,1.05,-4.62,0.77
-0.39,-0.5,0.84,0.84,-4.55,0.91
-0.4,-0.5,0.84,1.05,-4.83,1.47
-0.4,-0.5,0.84,1.47,-4.9,1.26
-0.39,-0.5,0.83,2.1,-5.32,1.47
-0.39,-0.49,0.83,2.52,-5.81,1.54
-0.39,-0.49,0.84,2.8,-6.02,1.4
-0.39,-0.48,0.84,2.87,-5.95,1.26
-0.39,-0.48,0.85,2.94,-5.95,1.12
-0.39,-0.48,0.85,2.59,-5.67,0.98
-0.39,-0.48,0.85,2.17,-5.46,1.12
-0.39,-0.48,0.85,1.96,-5.25,0.84
-0.39,-0.48,0.85,1.82,-5.25,1.05
-0.39,-0.48,0.85,1.54,-5.25,1.26
-0.38,-0.48,0.85,1.33,-4.97,1.19
-0.38,-0.47,0.85,1.33,-5.04,1.12
-0.38,-0.48,0.85,0.98,-4.76,1.33
-0.38,-0.48,0.85,0.91,-4.76,1.26
-0.39,-0.48,0.85,0.84,-4.76,1.54
-0.39,-0.48,0.85,0.91,-4.97,1.75
-0.39,-0.48,0.84,1.4,-5.6,1.68
-0.4,-0.48,0.84,1.33,-5.67,1.26
-0.4,-0.47,0.84,1.68,-6.44,1.26
-0.39,-0.47,0.85,1.75,-6.58,0.84
-0.39,-0.47,0.85,1.61,-6.37,0.77
-0.39,-0.47,0.86,1.05,-6.09,0.7
-0.38,-0.47,0.86,0.63,-5.74,0.91
-0.38,-0.47,0.85,0,-5.04,0.91
-0.37,-0.47,0.85,-0.35,-4.62,0.98
-0.37,-0.47,0.84,-0.35,-4.2,1.26
-0.37,-0.47,0.84,-0.14,-4.41,1.4
-0.38,-0.48,0.84,0.49,-4.62,1.47
-0.39,-0.49,0.84,1.05,-4.62,1.26
-0.39,-0.49,0.84,1.68,-4.76,1.19
-0.39,-0.49,0.85,2.03,-4.9,1.19
-0.39,-0.49,0.85,2.38,-4.83,1.26
-0.39,-0.49,0.85,2.03,-4.2,0.84
-0.39,-0.5,0.85,1.54,-4.2,0.98
-0.39,-0.5,0.85,1.12,-3.5,0.7
-0.39,-0.5,0.85,1.19,-3.22,0.49
-0.39,-0.5,0.84,1.75,-3.29,0.35
-0.39,-0.49,0.84,2.24,-3.43,0.28
-0.39,-0.49,0.85,2.52,-3.29,-17.85
-0.39,-0.48,0.85,2.8,-2.73,-0.35
-0.4,-0.48,0.85,2.59,-2.45,-0.56
-0.4,-0.47,0.86,2.1,-1.75,-0.91
-0.4,-0.47,0.85,2.31,-1.61,-1.12
-0.4,-0.47,0.85,2.38,-2.1,-1.33
-0.4,-0.47,0.85,2.52,-2.31,-1.26
-0.39,-0.47,0.85,2.59,-2.87,-0.98
-0.4,-0.45,0.86,2.03,-2.45,-0.7
-0.39,-0.46,0.86,1.54,-2.59,-0.7
-0.38,-0.48,0.86,1.54,-3.22,-0.7
-0.39,-0.48,0.86,1.47,-3.15,-0.14
-0.4,-0.49,0.86,0.7,-2.66,0.63
-0.4,-0.5,0.85,1.26,-3.15,1.33
-0.4,-0.48,0.85,2.52,-3.36,1.4
-0.39,-0.48,0.84,2.94,-4.34,1.54
-0.4,-0.47,0.84,3.36,-5.81,1.47
-0.4,-0.47,0.85,3.92,-6.23,1.05
-0.41,-0.45,0.85,3.64,-6.02,1.26
-0.39,-0.46,0.86,3.08,-5.81,0.84
-0.38,-0.46,0.86,2.8,-5.6,0.77
-0.38,-0.46,0.87,1.89,-4.34,0.63
-0.39,-0.45,0.86,0,-3.08,1.19
-0.38,-0.46,0.85,-0.63,-2.73,1.33
-0.37,-0.45,0.84,-0.7,-1.96,1.26
-0.37,-0.46,0.84,-1.12,-2.17,1.54
-0.38,-0.45,0.85,-0.7,-2.8,1.68
-0.38,-0.46,0.86,0.14,-2.87,1.75
-0.4,-0.48,0.87,0.07,-3.08,1.89
-0.41,-0.5,0.87,-0.77,-3.15,2.31
-0.42,-0.49,0.86,-0.49,-3.57,2.59
-0.42,-0.48,0.85,0,-4.27,2.45
-0.4,-0.47,0.85,0.84,-5.11,2.52
-0.39,-0.46,0.85,1.33,-5.39,2.17
-0.38,-0.46,0.85,0.77,-5.32,2.17
-0.38,-0.46,0.86,-0.35,-4.9,2.52
-0.38,-0.47,0.86,-1.47,-4.2,3.15
-0.39,-0.48,0.86,-2.03,-3.71,3.71
-0.38,-0.48,0.85,-2.03,-3.5,4.27
-0.39,-0.48,0.84,-1.33,-3.43,4.69
-0.4,-0.48,0.84,-0.63,-3.36,4.48
-0.4,-0.47,0.84,0.14,-3.29,4.06
-0.4,-0.47,0.84,0.42,-3.64,3.78
-0.4,-0.46,0.86,0.35,-3.78,3.64
-0.4,-0.47,0.86,-0.49,-3.22,3.36
-0.4,-0.47,0.87,-1.82,-2.87,3.22
-0.41,-0.48,0.86,-1.89,-2.8,3.43
-0.41,-0.47,0.85,-2.03,-2.8,3.08
-0.41,-0.47,0.84,-1.89,-3.15,3.08
-0.4,-0.46,0.83,-1.54,-3.85,2.8
-0.4,-0.46,0.83,-1.75,-4.62,2.59
-0.41,-0.46,0.84,-1.54,-4.9,2.17
-0.41,-0.47,0.85,-1.05,-4.97,2.24
-0.42,-0.48,0.86,-0.91,-5.04,2.31
-0.42,-0.48,0.85,-0.49,-5.25,2.24
-0.42,-0.48,0.85,0.07,-5.81,1.89
-0.41,-0.47,0.84,0.77,-6.23,1.82
-0.41,-0.46,0.84,0.84,-6.65,1.4
-0.4,-0.46,0.84,0.63,-6.72,1.05
-0.4,-0.46,0.85,0.7,-6.51,0.7
-0.39,-0.47,0.85,0.56,-6.3,0.77
-0.39,-0.47,0.85,0,-5.53,0.84
-0.38,-0.47,0.84,0.14,-5.11,0.91
-0.38,-0.48,0.83,0.84,-4.48,0.84
-0.38,-0.48,0.83,1.26,-4.34,0.63
-0.38,-0.48,0.83,2.03,-4.13,0.98
-0.39,-0.48,0.83,2.66,-4.27,0.77
-0.39,-0.48,0.84,3.08,-4.06,0.84
-0.39,-0.48,0.84,2.94,-3.78,0.98
-0.4,-0.48,0.85,2.24,-3.57,1.12
-0.4,-0.47,0.86,1.12,-3.22,0.91
-0.4,-0.46,0.85,-0.07,-3.71,0.7
-0.4,-0.45,0.86,-0.63,-3.78,0.42
-0.4,-0.44,0.86,-1.05,-4.2,-0.35
-0.4,-0.45,0.86,-1.61,-4.27,-1.05
-0.4,-0.45,0.86,-2.31,-4.34,-0.98
-0.4,-0.47,0.85,-2.8,-4.06,-1.05
-0.4,-0.48,0.85,-2.73,-3.99,-0.77
-0.4,-0.48,0.84,-2.31,-3.99,-0.14
-0.4,-0.48,0.84,-1.61,-3.5,-0.14
-0.41,-0.47,0.84,-1.4,-3.36,-0.07
-0.4,-0.47,0.84,-1.33,-3.29,0.14
-0.4,-0.46,0.84,-1.33,-3.57,0
-0.4,-0.46,0.85,-1.82,-3.43,-0.35
-0.39,-0.47,0.86,-2.24,-3.43,-0.07
-0.39,-0.48,0.87,-3.15,-3.08,0.35
-0.39,-0.49,0.87,-4.06,-2.66,1.05
-0.39,-0.5,0.86,-4.76,-1.82,1.54
-0.39,-0.49,0.85,-4.69,-1.19,1.89
-0.39,-0.48,0.85,-5.95,-0.35,2.17
-0.4,-0.48,0.85,-6.58,-0.42,2.52
-0.4,-0.47,0.86,-6.3,-1.12,2.66
-0.4,-0.47,0.86,-5.81,-1.47,3.01
-0.41,-0.48,0.86,-5.39,-2.1,3.64
-0.41,-0.48,0.86,-5.81,-3.43,4.41
-0.42,-0.49,0.87,-6.3,-3.57,4.55
-0.43,-0.49,0.87,-6.65,-3.22,4.97
-0.44,-0.5,0.85,-8.47,-2.52,6.02
-0.45,-0.5,0.83,-7.84,-3.92,6.37
-0.45,-0.47,0.81,-5.74,-7.42,5.74
-0.44,-0.46,0.82,-5.67,-10.29,5.46
-0.44,-0.45,0.83,-5.11,-11.76,5.88
-0.42,-0.46,0.82,-5.53,-11.2,5.95
-0.42,-0.46,0.81,-5.74,-10.85,7
-0.4,-0.48,0.8,-5.18,-11.97,9.1
-0.37,-0.48,0.79,-4.41,-12.39,11.13
-0.35,-0.49,0.79,-4.13,-11.2,12.25
